Step,Normal_Reward_Eps_0,Normal_Reward_Eps_0.01,Normal_Reward_Eps_0.1,Binomial_Reward_Eps_0,Binomial_Reward_Eps_0.01,Binomial_Reward_Eps_0.1,Bernoulli_Reward_Eps_0,Bernoulli_Reward_Eps_0.01,Bernoulli_Reward_Eps_0.1,Normal_Opt_Eps_0,Normal_Opt_Eps_0.01,Normal_Opt_Eps_0.1,Binomial_Opt_Eps_0,Binomial_Opt_Eps_0.01,Binomial_Opt_Eps_0.1,Bernoulli_Opt_Eps_0,Bernoulli_Opt_Eps_0.01,Bernoulli_Opt_Eps_0.1
96,1.571270383567057,4.534872393029477,8.601196966772134,6.844,7.41,8.786,0.118,0.168,0.482,0.0,0.072,0.498,0.0,0.076,0.472,0.0,0.052,0.462
97,1.5735948441817458,4.502219633787267,8.575609870071563,6.798,7.43,8.726,0.11,0.154,0.498,0.0,0.072,0.5,0.0,0.076,0.466,0.0,0.05,0.466
98,1.6050466685402671,4.598421186004016,8.678945521440973,6.88,7.338,8.932,0.078,0.176,0.508,0.0,0.074,0.506,0.0,0.076,0.482,0.0,0.054,0.46
99,1.5474607060111085,4.497134556429132,8.766411775957513,6.796,7.26,8.716,0.094,0.194,0.556,0.0,0.074,0.502,0.0,0.076,0.464,0.0,0.052,0.468
100,1.5921746955126856,4.5261176766459945,8.68914372056891,6.85,7.284,8.84,0.086,0.15,0.532,0.0,0.08,0.522,0.0,0.076,0.494,0.0,0.054,0.48
101,1.56083853270757,4.567793682849742,8.661713702720956,6.822,7.442,8.9,0.078,0.16,0.54,0.0,0.082,0.512,0.0,0.078,0.506,0.0,0.052,0.484
102,1.5674848335358054,4.538596141484988,8.661302313885036,6.768,7.364,8.874,0.11,0.162,0.51,0.0,0.084,0.514,0.0,0.078,0.486,0.0,0.054,0.48
103,1.6005509101051036,4.637173694272236,8.588613182030157,6.77,7.342,8.912,0.128,0.21,0.532,0.0,0.086,0.51,0.0,0.076,0.492,0.0,0.054,0.49
104,1.515162781847408,4.654092012084132,8.678501563182765,6.78,7.364,8.94,0.092,0.186,0.52,0.0,0.086,0.526,0.0,0.078,0.502,0.0,0.052,0.492
105,1.5548300513558584,4.723005521589745,8.584184439682922,6.862,7.334,9.084,0.098,0.172,0.524,0.0,0.086,0.51,0.0,0.08,0.51,0.0,0.052,0.48
106,1.5746688426131004,4.651405794735568,8.739532513412438,6.746,7.374,8.83,0.114,0.188,0.542,0.0,0.09,0.532,0.0,0.082,0.484,0.0,0.054,0.474
107,1.621327755818356,4.717417888694214,8.799038175200966,6.824,7.352,8.992,0.098,0.176,0.566,0.0,0.09,0.53,0.0,0.086,0.488,0.0,0.054,0.494
108,1.6009130555753777,4.830317666058803,8.775706351193179,6.748,7.374,8.902,0.108,0.182,0.562,0.0,0.09,0.54,0.0,0.088,0.488,0.0,0.054,0.48
109,1.610821584251579,4.858944267712738,8.6741187355973,6.792,7.382,9.092,0.102,0.21,0.536,0.0,0.094,0.536,0.0,0.09,0.516,0.0,0.054,0.508
110,1.6304983777170945,4.871104938243321,8.63881825366942,6.826,7.41,9.09,0.112,0.16,0.568,0.0,0.094,0.532,0.0,0.09,0.512,0.0,0.054,0.526
111,1.569132095300344,4.8272690737648,8.73052673801655,6.796,7.336,8.962,0.096,0.184,0.528,0.0,0.094,0.54,0.0,0.088,0.5,0.0,0.054,0.51
112,1.5791318216320267,4.905414000044766,8.748553351066793,6.952,7.432,8.944,0.094,0.178,0.55,0.0,0.094,0.516,0.0,0.09,0.486,0.0,0.056,0.498
113,1.5537871878642804,4.806527753705611,8.66859726355728,6.88,7.464,9.164,0.074,0.188,0.564,0.0,0.094,0.53,0.0,0.092,0.512,0.0,0.056,0.52
114,1.5758817028586507,4.9104876058992195,8.604058254664537,6.844,7.392,9.094,0.104,0.22,0.518,0.0,0.092,0.522,0.0,0.094,0.524,0.0,0.056,0.518
