Step,Normal_Reward_k_0.1,Normal_Reward_k_1,Normal_Reward_k_5,Binomial_Reward_k_0.1,Binomial_Reward_k_1,Binomial_Reward_k_5,Bernoulli_Reward_k_0.1,Bernoulli_Reward_k_1,Bernoulli_Reward_k_5,Normal_Opt_k_0.1,Normal_Opt_k_1,Normal_Opt_k_5,Binomial_Opt_k_0.1,Binomial_Opt_k_1,Binomial_Opt_k_5,Bernoulli_Opt_k_0.1,Bernoulli_Opt_k_1,Bernoulli_Opt_k_5
100,9.387471072619562,9.616728908916398,8.70748754643068,9.836,9.828,9.304,0.76,0.636,0.456,0.878,0.972,0.568,0.992,0.984,0.67,0.52,0.364,0.144
101,9.466137001631953,9.518212370635283,8.884345372244601,9.832,9.832,9.436,0.776,0.622,0.448,0.878,0.978,0.636,0.992,0.986,0.738,0.52,0.346,0.178
102,9.40325250786756,9.462413690058645,8.819913161464667,9.848,9.836,9.306,0.77,0.602,0.374,0.878,0.964,0.618,0.992,0.988,0.72,0.514,0.356,0.14
103,9.485439775170107,9.563718325157106,8.770753188012073,9.836,9.77,9.47,0.744,0.628,0.356,0.878,0.97,0.572,0.992,0.984,0.718,0.518,0.36,0.146
104,9.505237343183179,9.568732417597163,8.6901015051216,9.832,9.822,9.34,0.788,0.636,0.308,0.878,0.97,0.57,0.992,0.986,0.734,0.514,0.33,0.09
105,9.457526860222064,9.635784092312441,8.693164962677443,9.84,9.832,9.346,0.776,0.632,0.288,0.878,0.98,0.582,0.992,0.982,0.704,0.518,0.356,0.072
106,9.523623706532298,9.460101106028027,8.724047384742546,9.836,9.818,9.406,0.752,0.644,0.346,0.878,0.968,0.566,0.992,0.988,0.738,0.526,0.346,0.104
107,9.51505726859608,9.510405249716388,8.813013994000015,9.818,9.82,9.454,0.766,0.656,0.426,0.878,0.978,0.568,0.992,0.978,0.726,0.526,0.352,0.14
108,9.497327429754165,9.535671685907358,8.65607179212152,9.818,9.772,9.296,0.76,0.592,0.446,0.878,0.97,0.536,0.992,0.976,0.73,0.524,0.364,0.142
109,9.479444590823906,9.53377253264307,8.74807683265317,9.822,9.804,9.274,0.764,0.68,0.49,0.878,0.96,0.608,0.992,0.982,0.712,0.522,0.366,0.18
110,9.438299652998571,9.55896770409391,8.891566443047582,9.826,9.822,9.29,0.794,0.678,0.514,0.878,0.972,0.572,0.992,0.984,0.738,0.522,0.372,0.168
111,9.47311750216203,9.51844737192299,8.834162499455463,9.834,9.816,9.232,0.776,0.644,0.542,0.876,0.978,0.606,0.992,0.994,0.718,0.524,0.374,0.208
112,9.464140209095572,9.523109617480529,8.693544768615144,9.816,9.814,9.218,0.738,0.67,0.47,0.878,0.976,0.568,0.992,0.982,0.734,0.526,0.388,0.156
113,9.46763703260508,9.426756553897205,8.867467547845418,9.828,9.82,9.114,0.778,0.698,0.462,0.878,0.98,0.61,0.992,0.98,0.692,0.522,0.392,0.166
114,9.514887546181072,9.523357457052047,8.86175456909758,9.834,9.768,9.044,0.788,0.652,0.466,0.878,0.97,0.63,0.992,0.972,0.678,0.52,0.366,0.152
115,9.487700152423901,9.54337207472512,8.856448657153773,9.842,9.828,9.104,0.76,0.71,0.422,0.878,0.958,0.624,0.992,0.964,0.682,0.52,0.394,0.122
116,9.475637364970742,9.428174989842834,8.91663100275035,9.858,9.762,9.126,0.784,0.656,0.364,0.878,0.97,0.606,0.992,0.966,0.724,0.518,0.376,0.134
117,9.440366959423729,9.558927592576874,8.892212602497173,9.814,9.842,8.988,0.77,0.644,0.346,0.878,0.972,0.636,0.992,0.98,0.67,0.514,0.362,0.088
118,9.415644742991915,9.55630806910213,8.894080127885438,9.806,9.816,9.014,0.734,0.69,0.354,0.878,0.974,0.61,0.992,0.972,0.696,0.512,0.386,0.108
119,9.515542756764528,9.504125433811016,8.872271385271416,9.832,9.832,9.008,0.77,0.668,0.332,0.878,0.974,0.606,0.992,0.978,0.7,0.516,0.358,0.114
120,9.498224880024452,9.568059509644337,8.80031844222021,9.838,9.834,9.142,0.784,0.692,0.36,0.874,0.97,0.608,0.992,0.982,0.694,0.52,0.384,0.122
121,9.473399633152248,9.502521867540302,8.84306427166508,9.844,9.816,9.162,0.766,0.672,0.402,0.878,0.976,0.614,0.992,0.982,0.718,0.524,0.402,0.16
122,9.46765355867743,9.497475474733292,8.842227258238001,9.846,9.83,9.294,0.778,0.69,0.48,0.876,0.968,0.58,0.992,0.984,0.754,0.526,0.416,0.152
123,9.454773693283157,9.518900869959133,8.82966024798373,9.832,9.824,9.166,0.746,0.686,0.448,0.878,0.962,0.65,0.992,0.988,0.722,0.53,0.43,0.146
124,9.533766896385405,9.54059277274819,8.99694345921394,9.828,9.826,9.26,0.762,0.668,0.45,0.878,0.972,0.654,0.992,0.992,0.712,0.526,0.396,0.172
125,9.488922309796884,9.541841041217674,8.89818206847082,9.812,9.83,9.36,0.764,0.66,0.466,0.878,0.968,0.644,0.992,0.992,0.726,0.524,0.388,0.146
126,9.437618040747592,9.565495928180228,8.864900221343232,9.794,9.82,9.438,0.73,0.662,0.49,0.878,0.966,0.616,0.992,0.986,0.734,0.53,0.396,0.16
127,9.504859384588322,9.523242864298853,8.950124729916803,9.852,9.806,9.48,0.76,0.682,0.472,0.878,0.97,0.642,0.992,0.982,0.752,0.522,0.372,0.186
128,9.450611208401032,9.574443629213569,8.952562526311379,9.842,9.816,9.428,0.798,0.672,0.426,0.878,0.976,0.6,0.992,0.976,0.752,0.524,0.376,0.176
129,9.513730613202917,9.504009767613505,8.905740524301333,9.828,9.796,9.364,0.758,0.702,0.468,0.88,0.972,0.652,0.992,0.974,0.754,0.526,0.398,0.162
130,9.465035219501596,9.514336763112937,8.816590727346988,9.826,9.812,9.256,0.754,0.67,0.41,0.878,0.964,0.616,0.992,0.982,0.714,0.526,0.388,0.14
131,9.422202498761479,9.537766730182314,8.969444173982291,9.836,9.812,9.366,0.772,0.654,0.38,0.876,0.974,0.636,0.992,0.978,0.756,0.52,0.38,0.112
132,9.47357322481532,9.536178438093625,8.867905971543435,9.842,9.83,9.324,0.75,0.7,0.38,0.876,0.964,0.622,0.992,0.99,0.74,0.53,0.42,0.134
133,9.445699354099661,9.557544514126699,8.963293031170391,9.848,9.832,9.266,0.768,0.688,0.38,0.878,0.964,0.638,0.992,0.992,0.718,0.528,0.448,0.138
134,9.507663360151252,9.550180397823436,8.86887439417494,9.844,9.816,9.318,0.768,0.696,0.388,0.876,0.966,0.638,0.992,0.986,0.748,0.528,0.43,0.146
135,9.42393995969259,9.54964662209982,8.905947384733723,9.83,9.8,9.152,0.746,0.684,0.38,0.876,0.954,0.612,0.992,0.988,0.724,0.528,0.43,0.132
136,9.518877046961702,9.48687519343484,9.061555265054595,9.85,9.794,9.204,0.8,0.684,0.392,0.878,0.97,0.666,0.992,0.99,0.72,0.524,0.43,0.138
137,9.500846901208426,9.534704111686649,9.029164507597297,9.81,9.812,9.12,0.74,0.67,0.446,0.878,0.972,0.684,0.992,0.99,0.72,0.526,0.408,0.146
138,9.470376650631396,9.523021674423221,8.951145119662888,9.826,9.816,8.892,0.776,0.67,0.496,0.878,0.972,0.62,0.992,0.982,0.694,0.524,0.394,0.188
139,9.496284316294771,9.481366364266382,8.910590211059164,9.84,9.82,8.964,0.764,0.678,0.498,0.878,0.982,0.66,0.992,0.992,0.748,0.524,0.408,0.174
140,9.454710667475354,9.570253674374342,8.990511782010486,9.838,9.804,8.868,0.798,0.67,0.434,0.878,0.968,0.65,0.992,0.99,0.69,0.52,0.418,0.168
141,9.40906035539066,9.527301563384619,8.896494867610983,9.786,9.806,8.768,0.752,0.712,0.4,0.878,0.972,0.642,0.992,0.976,0.692,0.528,0.41,0.16
142,9.43637760109039,9.533756978741009,9.061569875635616,9.836,9.81,9.106,0.782,0.684,0.382,0.878,0.974,0.674,0.992,0.99,0.73,0.528,0.406,0.152
143,9.505724268907242,9.581090041920461,9.033812528736561,9.814,9.776,9.096,0.77,0.618,0.384,0.878,0.97,0.67,0.992,0.992,0.716,0.526,0.408,0.134
144,9.443608400701113,9.525384468605926,8.870231145631882,9.84,9.778,9.17,0.762,0.644,0.37,0.878,0.972,0.622,0.992,0.992,0.724,0.526,0.38,0.138
145,9.428127111826527,9.538559204324267,8.950821153033582,9.856,9.818,9.242,0.796,0.634,0.386,0.878,0.968,0.624,0.992,0.988,0.726,0.526,0.402,0.158
