Step,Normal_Reward_Tau_0.1,Normal_Reward_Tau_1,Normal_Reward_Tau_5,Binomial_Reward_Tau_0.1,Binomial_Reward_Tau_1,Binomial_Reward_Tau_5,Bernoulli_Reward_Tau_0.1,Bernoulli_Reward_Tau_1,Bernoulli_Reward_Tau_5,Normal_Opt_Tau_0.1,Normal_Opt_Tau_1,Normal_Opt_Tau_5,Binomial_Opt_Tau_0.1,Binomial_Opt_Tau_1,Binomial_Opt_Tau_5,Bernoulli_Opt_Tau_0.1,Bernoulli_Opt_Tau_1,Bernoulli_Opt_Tau_5
94,5.520587704608842,7.89045334085167,6.840265664111003,5.754,7.652,6.416,0.872,0.572,0.528,0.09,0.2,0.138,0.112,0.25,0.196,0.304,0.148,0.132
95,5.51164726375421,7.859574269709864,6.836704173404291,5.754,7.764,6.576,0.876,0.624,0.544,0.09,0.206,0.174,0.112,0.256,0.19,0.306,0.114,0.096
96,5.610077592777348,7.860435389918653,6.7674161864150175,5.848,7.682,6.468,0.844,0.594,0.536,0.09,0.2,0.18,0.112,0.256,0.2,0.308,0.156,0.106
97,5.587567424867867,7.941061634914484,6.891291520895183,5.824,7.778,6.322,0.858,0.588,0.526,0.09,0.208,0.158,0.112,0.254,0.162,0.306,0.154,0.104
98,5.549251145167955,7.934379135990557,7.089201362337276,5.816,7.768,6.644,0.862,0.598,0.498,0.09,0.206,0.206,0.112,0.262,0.194,0.312,0.164,0.124
99,5.558258141868328,7.8329335949118395,6.940741674181215,5.794,7.548,6.334,0.866,0.568,0.54,0.09,0.204,0.19,0.112,0.254,0.212,0.31,0.136,0.12
100,5.640774296572921,7.892056975070416,6.823980144299591,5.834,7.648,6.468,0.866,0.638,0.518,0.09,0.202,0.172,0.112,0.264,0.152,0.304,0.15,0.116
101,5.6120456424830065,7.94674958188319,7.053313383152491,5.818,7.726,6.366,0.878,0.624,0.526,0.09,0.2,0.236,0.112,0.262,0.172,0.31,0.172,0.108
102,5.513961179845848,7.867584646824474,7.021610805023514,5.744,7.708,6.612,0.86,0.594,0.516,0.09,0.208,0.214,0.112,0.26,0.188,0.314,0.116,0.112
103,5.603007998978354,7.938839971105389,7.094068242896848,5.764,7.7,6.18,0.85,0.59,0.528,0.09,0.208,0.216,0.112,0.26,0.184,0.312,0.138,0.094
104,5.545733040950643,8.023588686080014,7.085960790856266,5.888,7.72,6.314,0.88,0.568,0.55,0.09,0.21,0.198,0.112,0.264,0.168,0.314,0.132,0.116
105,5.5868806050293705,7.914694193807393,6.976568134528552,5.834,7.798,6.438,0.878,0.602,0.532,0.09,0.212,0.184,0.112,0.25,0.188,0.314,0.156,0.106
106,5.552196295501114,7.944234054009084,7.293308482367699,5.776,7.722,6.47,0.876,0.572,0.53,0.09,0.21,0.248,0.112,0.258,0.202,0.316,0.146,0.092
107,5.512862878506351,7.8759789680949295,7.016688187989711,5.756,7.674,6.53,0.88,0.62,0.544,0.09,0.206,0.19,0.112,0.266,0.174,0.31,0.146,0.118
108,5.489078456220997,7.948326165722358,6.8665584409969,5.744,7.722,6.362,0.852,0.622,0.464,0.09,0.212,0.172,0.112,0.262,0.196,0.312,0.164,0.1
109,5.489114020252941,7.8367612946710326,7.230632785017526,5.838,7.832,6.288,0.884,0.624,0.534,0.09,0.208,0.228,0.112,0.266,0.166,0.316,0.158,0.116
110,5.515343039317643,7.894093229842202,7.053206820315419,5.758,7.71,6.384,0.886,0.598,0.484,0.09,0.218,0.196,0.112,0.258,0.196,0.316,0.154,0.114
111,5.570184531785543,7.924336360590541,6.927949392753801,5.704,7.852,6.668,0.872,0.584,0.554,0.09,0.21,0.17,0.112,0.256,0.188,0.31,0.128,0.142
112,5.500077976866536,7.930857758340498,6.907630890316823,5.792,7.734,6.532,0.87,0.604,0.558,0.09,0.214,0.194,0.112,0.258,0.168,0.316,0.164,0.12
113,5.4872630931712925,7.992432009031709,7.000056420448218,5.898,7.736,6.214,0.896,0.564,0.522,0.09,0.222,0.182,0.112,0.258,0.156,0.314,0.126,0.108
114,5.52837687807527,8.034399340522558,6.949533910847377,5.808,7.828,6.552,0.868,0.636,0.574,0.09,0.218,0.22,0.112,0.256,0.188,0.312,0.162,0.13
115,5.521633108679681,7.871599316547552,6.944368500492978,5.848,7.744,6.454,0.876,0.638,0.504,0.09,0.214,0.19,0.112,0.258,0.176,0.316,0.172,0.098
116,5.590092988616965,7.902627825382555,7.01566413663593,5.71,7.692,6.568,0.862,0.572,0.532,0.09,0.21,0.202,0.112,0.262,0.19,0.316,0.14,0.098
117,5.510293917076342,8.005663414613768,6.836864699186639,5.836,7.776,6.578,0.882,0.582,0.496,0.09,0.224,0.168,0.112,0.266,0.166,0.318,0.146,0.114
118,5.569877280801671,7.963756648114172,6.792653830916282,5.898,7.768,6.514,0.834,0.6,0.528,0.09,0.222,0.186,0.112,0.264,0.206,0.312,0.124,0.1
119,5.5647401094204145,7.951429979659039,6.930267698591746,5.838,7.706,6.424,0.898,0.614,0.548,0.09,0.218,0.188,0.112,0.268,0.182,0.318,0.154,0.112
120,5.54538183768739,7.89735848296876,6.857367076173563,5.748,7.778,6.54,0.872,0.596,0.562,0.09,0.214,0.194,0.112,0.264,0.184,0.31,0.178,0.12
121,5.56102317813258,7.905628173407767,7.007677287005754,5.86,7.722,6.502,0.882,0.676,0.542,0.09,0.222,0.222,0.112,0.26,0.212,0.318,0.162,0.124
122,5.490795373359423,7.926840696672736,7.030788028665759,5.848,7.798,6.484,0.87,0.6,0.51,0.09,0.222,0.192,0.112,0.268,0.17,0.31,0.126,0.104
123,5.583904354996659,7.879762000012236,7.025013040079065,5.818,7.768,6.504,0.864,0.64,0.546,0.09,0.222,0.19,0.112,0.266,0.196,0.312,0.142,0.09
124,5.678054129219782,7.9196598892692185,7.053179799788858,5.752,7.64,6.444,0.874,0.59,0.542,0.09,0.224,0.184,0.112,0.264,0.184,0.312,0.142,0.122
125,5.522208742465437,7.906440887974906,7.147661953258325,5.764,7.728,6.454,0.866,0.622,0.504,0.09,0.222,0.218,0.112,0.266,0.172,0.314,0.136,0.094
126,5.535289596065823,8.042250085332746,7.100833696979782,5.768,7.732,6.528,0.856,0.634,0.528,0.09,0.222,0.18,0.112,0.258,0.196,0.316,0.138,0.116
127,5.611416526481499,7.960996384704162,6.827443616623432,5.764,7.676,6.592,0.866,0.626,0.51,0.09,0.216,0.198,0.112,0.264,0.18,0.314,0.136,0.1
128,5.473707035827205,7.986967939478833,6.937983994915859,5.728,7.762,6.488,0.868,0.608,0.508,0.09,0.224,0.192,0.112,0.266,0.186,0.316,0.126,0.088
129,5.5592860822486445,8.027482385031291,7.185443987932162,5.826,7.742,6.532,0.864,0.598,0.528,0.09,0.226,0.212,0.112,0.258,0.184,0.318,0.16,0.108
130,5.528479023624697,8.056503614051442,6.855880783562422,5.89,7.708,6.542,0.9,0.614,0.528,0.09,0.226,0.194,0.112,0.26,0.174,0.318,0.154,0.11
131,5.546427347043829,8.01599871622726,6.83336701507363,5.818,7.81,6.746,0.87,0.608,0.568,0.09,0.232,0.186,0.112,0.27,0.22,0.318,0.146,0.124
132,5.538704615714778,7.973526914441512,7.320526533001024,5.89,7.826,6.63,0.882,0.608,0.504,0.09,0.23,0.218,0.112,0.27,0.204,0.318,0.156,0.096
133,5.580511301254029,8.010347947912955,6.878267473311651,5.746,7.72,6.47,0.852,0.596,0.5,0.09,0.23,0.174,0.112,0.266,0.192,0.316,0.174,0.096
134,5.554465426981424,8.08754459148968,6.97675977744469,5.806,7.888,6.376,0.868,0.598,0.56,0.09,0.232,0.208,0.112,0.266,0.17,0.318,0.18,0.118
