Step,Normal_Reward_Tau_0.1,Normal_Reward_Tau_1,Normal_Reward_Tau_5,Binomial_Reward_Tau_0.1,Binomial_Reward_Tau_1,Binomial_Reward_Tau_5,Bernoulli_Reward_Tau_0.1,Bernoulli_Reward_Tau_1,Bernoulli_Reward_Tau_5,Normal_Opt_Tau_0.1,Normal_Opt_Tau_1,Normal_Opt_Tau_5,Binomial_Opt_Tau_0.1,Binomial_Opt_Tau_1,Binomial_Opt_Tau_5,Bernoulli_Opt_Tau_0.1,Bernoulli_Opt_Tau_1,Bernoulli_Opt_Tau_5
909,5.581076604154132,8.571158819155377,7.0689922259605575,5.77,8.282,6.576,0.92,0.586,0.536,0.09,0.384,0.216,0.112,0.392,0.188,0.38,0.118,0.114
910,5.53368223493486,8.619399743245154,7.193955102420366,5.826,8.352,6.36,0.916,0.61,0.498,0.09,0.382,0.194,0.112,0.392,0.216,0.382,0.154,0.094
911,5.519819711237594,8.571566318977327,7.068854341335553,5.844,8.33,6.456,0.928,0.586,0.546,0.09,0.366,0.178,0.112,0.388,0.188,0.394,0.138,0.112
912,5.5782824201377075,8.559935668025492,7.159228787903383,5.85,8.374,6.668,0.928,0.606,0.548,0.09,0.38,0.206,0.112,0.412,0.206,0.388,0.14,0.122
913,5.536431178614006,8.635367423408685,6.9654480493098845,5.71,8.312,6.648,0.92,0.58,0.534,0.09,0.388,0.176,0.112,0.38,0.186,0.394,0.154,0.12
914,5.5698771463767,8.626284823379656,6.991917722739052,5.684,8.312,6.552,0.908,0.596,0.534,0.09,0.376,0.19,0.112,0.404,0.182,0.386,0.158,0.12
915,5.6021727253123705,8.576626421832549,6.999282343218744,5.77,8.292,6.492,0.922,0.596,0.508,0.09,0.374,0.192,0.112,0.4,0.206,0.388,0.148,0.106
916,5.446252721487554,8.585537909614928,6.843751553112364,5.766,8.294,6.676,0.914,0.61,0.494,0.09,0.382,0.176,0.112,0.402,0.2,0.384,0.17,0.108
917,5.533539676761118,8.510004266806675,6.834601273321161,5.764,8.438,6.504,0.918,0.606,0.526,0.09,0.37,0.162,0.112,0.404,0.168,0.404,0.154,0.1
918,5.5562493897127725,8.552886717739769,6.9660605155772695,5.802,8.304,6.176,0.92,0.618,0.538,0.09,0.378,0.194,0.112,0.39,0.136,0.394,0.148,0.104
919,5.541635230935019,8.53157215735193,7.004922862757579,5.762,8.392,6.686,0.924,0.612,0.536,0.09,0.37,0.17,0.112,0.39,0.186,0.4,0.168,0.132
920,5.579984380754395,8.536317123635,6.74737423205239,5.9,8.364,6.364,0.934,0.584,0.51,0.09,0.378,0.156,0.112,0.412,0.184,0.394,0.184,0.108
921,5.533145997057179,8.54575500990814,6.987301939029949,5.816,8.314,6.406,0.928,0.622,0.516,0.09,0.368,0.216,0.112,0.4,0.194,0.398,0.132,0.08
922,5.509603495738501,8.497728541594858,6.950293612145748,5.852,8.252,6.552,0.926,0.61,0.53,0.09,0.378,0.18,0.112,0.37,0.218,0.4,0.156,0.098
923,5.488706322324986,8.563992478865986,7.029454755361481,5.868,8.34,6.464,0.92,0.61,0.542,0.09,0.394,0.208,0.112,0.402,0.17,0.392,0.148,0.116
924,5.580477271960965,8.514418888609622,6.841326007261251,5.87,8.334,6.48,0.922,0.604,0.538,0.09,0.382,0.178,0.112,0.384,0.18,0.382,0.16,0.108
925,5.614969455013705,8.605835692578388,7.076075071798214,5.806,8.34,6.726,0.932,0.626,0.508,0.09,0.39,0.218,0.112,0.398,0.19,0.39,0.168,0.11
926,5.541212231359772,8.447944184789517,6.86311690708006,5.852,8.408,6.354,0.926,0.638,0.508,0.09,0.382,0.168,0.112,0.402,0.15,0.398,0.178,0.128
927,5.568865349615061,8.607087085147977,7.323635801307779,5.882,8.398,6.468,0.936,0.65,0.492,0.09,0.376,0.212,0.112,0.41,0.194,0.388,0.148,0.1
928,5.575501031520502,8.520051796022495,7.092762484712271,5.794,8.236,6.348,0.91,0.63,0.534,0.09,0.374,0.166,0.112,0.388,0.168,0.394,0.172,0.126
929,5.513319633450187,8.53156444157668,6.721560137812934,5.786,8.422,6.54,0.914,0.58,0.524,0.09,0.388,0.17,0.112,0.404,0.17,0.396,0.142,0.128
930,5.6121006811323815,8.530787101630159,6.8279797279427505,5.858,8.29,6.558,0.924,0.648,0.504,0.09,0.386,0.152,0.112,0.402,0.194,0.388,0.154,0.11
931,5.548063044986345,8.48572947490032,6.936829838947928,5.752,8.314,6.544,0.922,0.598,0.534,0.09,0.384,0.168,0.112,0.402,0.178,0.388,0.13,0.116
932,5.665180532020593,8.60538767158267,6.86506123631406,5.822,8.29,6.706,0.908,0.616,0.504,0.09,0.39,0.194,0.112,0.41,0.174,0.402,0.136,0.094
933,5.540982860540231,8.422566133850912,7.039488483924003,5.744,8.324,6.31,0.924,0.596,0.534,0.09,0.374,0.226,0.112,0.412,0.172,0.396,0.162,0.106
934,5.569299225478551,8.557018762423546,7.232035922760196,5.792,8.396,6.568,0.932,0.622,0.528,0.09,0.37,0.208,0.112,0.39,0.184,0.39,0.172,0.112
935,5.517810750791417,8.608251882403927,7.189614756215688,5.788,8.422,6.462,0.918,0.61,0.51,0.09,0.386,0.206,0.112,0.396,0.19,0.396,0.148,0.122
936,5.652152848067213,8.56507992704284,6.977914427656737,5.874,8.28,6.194,0.924,0.596,0.514,0.09,0.368,0.228,0.112,0.394,0.156,0.39,0.152,0.104
937,5.555449398606174,8.597363729169114,7.09729110639622,5.88,8.386,6.238,0.926,0.606,0.53,0.09,0.382,0.214,0.112,0.408,0.162,0.394,0.154,0.122
938,5.548264112450702,8.561549488716164,7.053838280201542,5.842,8.346,6.522,0.906,0.572,0.514,0.09,0.364,0.19,0.112,0.398,0.182,0.386,0.126,0.08
939,5.484505978008919,8.543131887860088,7.042588401576314,5.808,8.36,6.592,0.934,0.572,0.514,0.09,0.382,0.188,0.112,0.396,0.2,0.392,0.136,0.116
940,5.58274358826524,8.591113146594598,6.939244222168879,5.828,8.412,6.47,0.922,0.582,0.52,0.09,0.384,0.166,0.112,0.376,0.174,0.406,0.138,0.126
941,5.637796886106645,8.584603524946605,6.943205385864174,5.684,8.366,6.216,0.938,0.626,0.546,0.09,0.386,0.19,0.112,0.396,0.16,0.394,0.154,0.116
942,5.563539310610822,8.521419059252098,7.041011407671025,5.8,8.252,6.72,0.934,0.612,0.566,0.09,0.384,0.214,0.112,0.4,0.182,0.4,0.16,0.118
943,5.702407870535891,8.510289304452934,7.085180414976519,5.81,8.206,6.468,0.932,0.604,0.538,0.09,0.38,0.196,0.112,0.376,0.184,0.396,0.156,0.086
944,5.600973899318585,8.584228289813376,7.150702431088482,5.694,8.284,6.33,0.926,0.606,0.526,0.09,0.392,0.194,0.112,0.4,0.164,0.39,0.148,0.094
945,5.584084766237754,8.50289592421869,7.053881341908667,5.696,8.288,6.292,0.932,0.61,0.506,0.09,0.378,0.184,0.112,0.378,0.188,0.4,0.158,0.108
946,5.5538522409860995,8.52490778019658,6.916384005065453,5.902,8.394,6.412,0.916,0.644,0.506,0.09,0.374,0.184,0.112,0.396,0.18,0.402,0.154,0.098
947,5.593350017926972,8.627393271168984,7.120082022623321,5.714,8.374,6.458,0.928,0.612,0.51,0.09,0.376,0.202,0.112,0.39,0.18,0.38,0.132,0.122
948,5.584461386919521,8.56654190648921,6.818969871976625,5.774,8.272,6.376,0.912,0.598,0.518,0.09,0.392,0.178,0.112,0.382,0.198,0.394,0.158,0.136
949,5.593009081019153,8.50409135019785,7.196088665490953,5.834,8.274,6.668,0.936,0.604,0.562,0.09,0.37,0.198,0.112,0.392,0.158,0.38,0.14,0.146
950,5.606111280597094,8.567445692637936,7.044740697336182,5.782,8.34,6.282,0.934,0.604,0.53,0.09,0.386,0.206,0.112,0.41,0.162,0.382,0.16,0.086
951,5.497226142096544,8.477289934622796,6.897525329739584,5.828,8.294,6.514,0.928,0.648,0.542,0.09,0.362,0.186,0.112,0.376,0.184,0.408,0.182,0.11
952,5.543828862404277,8.557013707133272,6.7871050819862235,5.91,8.428,6.45,0.934,0.604,0.5,0.09,0.37,0.168,0.112,0.41,0.18,0.402,0.176,0.114
953,5.558735460798673,8.509338466902618,7.169775805068528,5.806,8.272,6.73,0.92,0.598,0.556,0.09,0.378,0.21,0.112,0.374,0.218,0.4,0.156,0.128
954,5.613586636416901,8.579233500655766,6.8852309979317505,5.792,8.27,6.294,0.928,0.64,0.55,0.09,0.38,0.152,0.112,0.392,0.17,0.394,0.16,0.114
955,5.62876939832636,8.583158826191962,6.997687761751338,5.772,8.39,6.506,0.918,0.638,0.534,0.09,0.368,0.214,0.112,0.414,0.182,0.398,0.174,0.108
956,5.58505066484163,8.523856285335723,6.975393931825555,5.796,8.36,6.578,0.908,0.606,0.516,0.09,0.394,0.206,0.112,0.398,0.198,0.382,0.168,0.1
957,5.561857279854918,8.631532845342303,6.993583674317208,5.776,8.372,6.644,0.926,0.59,0.514,0.09,0.39,0.186,0.112,0.386,0.19,0.408,0.14,0.112
958,5.633914182933829,8.64520257329509,7.078490248543523,5.908,8.358,6.484,0.926,0.662,0.538,0.09,0.376,0.202,0.112,0.398,0.172,0.402,0.164,0.106
959,5.576226100753696,8.61537269379829,6.88588677989944,5.762,8.434,6.37,0.904,0.598,0.534,0.09,0.38,0.162,0.112,0.376,0.158,0.398,0.16,0.104
960,5.537422144834722,8.602973446309768,7.012757456493216,5.762,8.332,6.47,0.906,0.63,0.536,0.09,0.386,0.176,0.112,0.382,0.19,0.394,0.18,0.1
961,5.573716043722241,8.590376082162344,6.884471369329128,5.782,8.28,6.656,0.91,0.582,0.552,0.09,0.382,0.164,0.112,0.412,0.174,0.392,0.152,0.132
962,5.500516715311178,8.665576737664466,6.801978406283239,5.744,8.248,6.526,0.914,0.562,0.54,0.09,0.396,0.172,0.112,0.39,0.18,0.408,0.12,0.128
963,5.477136254463281,8.636198694370039,6.8651162378774995,5.804,8.34,6.514,0.908,0.59,0.51,0.09,0.382,0.176,0.112,0.396,0.2,0.394,0.146,0.104
964,5.57315729066153,8.67660504875262,6.87053393090292,5.91,8.312,6.398,0.914,0.596,0.53,0.09,0.386,0.182,0.112,0.388,0.174,0.4,0.14,0.096
965,5.573266089261405,8.53523692941483,7.110059641779952,5.766,8.436,6.658,0.91,0.602,0.564,0.09,0.364,0.206,0.112,0.396,0.182,0.39,0.138,0.134
966,5.584005848342172,8.48353232089538,6.957759509754251,5.792,8.332,6.41,0.928,0.628,0.566,0.09,0.378,0.192,0.112,0.386,0.19,0.392,0.16,0.128
967,5.617840499179347,8.599327349324534,7.1927722175290905,5.69,8.314,6.49,0.918,0.632,0.51,0.09,0.402,0.208,0.112,0.382,0.182,0.39,0.182,0.102
968,5.632546172764645,8.58225277898837,7.064573199441541,5.854,8.352,6.608,0.92,0.594,0.498,0.09,0.388,0.172,0.112,0.382,0.176,0.396,0.148,0.124
969,5.560939377469191,8.588704652675014,6.981845063653384,5.716,8.3,6.482,0.904,0.636,0.536,0.09,0.382,0.192,0.112,0.39,0.17,0.394,0.172,0.126
970,5.546074079476465,8.576219120713732,6.876509713382466,5.706,8.316,6.48,0.912,0.594,0.55,0.09,0.384,0.186,0.112,0.386,0.214,0.39,0.172,0.108
971,5.465606417534688,8.547395241749873,6.945100615255519,5.694,8.408,6.626,0.932,0.63,0.544,0.09,0.386,0.18,0.112,0.404,0.202,0.388,0.176,0.118
972,5.529608062601164,8.532124551814052,6.86198834711616,5.74,8.302,6.554,0.932,0.574,0.488,0.09,0.386,0.168,0.112,0.404,0.21,0.394,0.136,0.102
973,5.588048551822387,8.474900368836463,6.779232888819031,5.768,8.412,6.508,0.926,0.604,0.53,0.09,0.39,0.172,0.112,0.388,0.188,0.392,0.148,0.128
974,5.574450735841699,8.59059797332103,6.979952395851429,5.818,8.198,6.388,0.888,0.61,0.538,0.09,0.386,0.186,0.112,0.368,0.176,0.398,0.152,0.088
975,5.628537501796845,8.630838859582845,6.936160934521916,5.762,8.424,6.23,0.914,0.6,0.556,0.09,0.4,0.19,0.112,0.422,0.184,0.396,0.132,0.132
976,5.557437662165316,8.546740787165502,7.131340049515046,5.792,8.318,6.352,0.922,0.582,0.536,0.09,0.378,0.19,0.112,0.404,0.188,0.4,0.16,0.118
977,5.551084474730218,8.594949103479747,6.869698568511345,5.894,8.306,6.464,0.902,0.592,0.538,0.09,0.406,0.178,0.112,0.386,0.186,0.396,0.158,0.116
978,5.588981751821886,8.581800292574977,7.007946907982866,5.772,8.412,6.396,0.9,0.594,0.516,0.09,0.378,0.178,0.112,0.402,0.166,0.392,0.14,0.11
979,5.569368214163272,8.519038365263865,6.905474486107813,5.936,8.344,6.494,0.924,0.608,0.532,0.09,0.382,0.214,0.112,0.39,0.184,0.39,0.158,0.098
980,5.5874181005566825,8.581249127099534,6.933928120791889,5.866,8.37,6.564,0.926,0.598,0.538,0.09,0.392,0.172,0.112,0.394,0.158,0.398,0.172,0.13
981,5.5936896609923945,8.554711937700219,6.7996549040672205,5.752,8.334,6.566,0.924,0.6,0.494,0.09,0.392,0.174,0.112,0.41,0.162,0.396,0.16,0.116
982,5.486459770805944,8.571142014941966,6.950939959833548,5.772,8.386,6.316,0.922,0.572,0.542,0.09,0.382,0.2,0.112,0.41,0.176,0.394,0.13,0.134
983,5.60256882588958,8.691443286739814,6.945694124751287,5.876,8.394,6.294,0.924,0.604,0.526,0.09,0.398,0.204,0.112,0.392,0.164,0.394,0.178,0.108
984,5.630027003599661,8.644996642224147,6.9315875603296275,5.88,8.314,6.644,0.92,0.584,0.53,0.09,0.4,0.206,0.112,0.398,0.148,0.39,0.16,0.124
985,5.520162814021135,8.613692966985157,6.99635354460018,5.83,8.326,6.698,0.908,0.624,0.474,0.09,0.39,0.2,0.112,0.402,0.182,0.394,0.176,0.102
986,5.559718730322865,8.460949137917034,7.093253039598289,5.802,8.194,6.366,0.922,0.61,0.518,0.09,0.39,0.222,0.112,0.398,0.152,0.398,0.18,0.106
987,5.588265060862921,8.594283322093487,6.832214941361386,5.84,8.376,6.316,0.934,0.618,0.512,0.09,0.384,0.17,0.112,0.392,0.184,0.39,0.154,0.11
988,5.591854153980928,8.530578540495476,7.08712755767057,5.642,8.27,6.512,0.9,0.646,0.514,0.09,0.39,0.224,0.112,0.386,0.186,0.378,0.174,0.1
989,5.547475792203374,8.636368400228854,7.012291086191056,5.752,8.398,6.426,0.926,0.632,0.538,0.09,0.402,0.206,0.112,0.406,0.166,0.392,0.154,0.09
990,5.5521882151184085,8.627720275186272,7.0985197450931645,5.792,8.33,6.504,0.912,0.622,0.542,0.09,0.398,0.2,0.112,0.402,0.194,0.392,0.156,0.102
991,5.472657775903527,8.53650115735609,6.900131051494964,5.798,8.304,6.57,0.908,0.592,0.522,0.09,0.388,0.18,0.112,0.396,0.188,0.396,0.124,0.098
992,5.627712058899494,8.6606042103049,7.011040317888284,5.83,8.356,6.464,0.938,0.62,0.546,0.09,0.4,0.166,0.112,0.39,0.196,0.392,0.152,0.122
993,5.586860365351108,8.506934677027536,6.847172770861407,5.734,8.364,6.384,0.93,0.6,0.476,0.09,0.378,0.172,0.112,0.39,0.206,0.392,0.164,0.104
994,5.609173716172565,8.58749335371281,7.013979902364043,5.766,8.382,6.466,0.914,0.564,0.53,0.09,0.388,0.168,0.112,0.402,0.168,0.38,0.122,0.1
995,5.634234287903957,8.583960451743865,7.188692886268113,5.756,8.238,6.422,0.928,0.594,0.512,0.09,0.394,0.218,0.112,0.402,0.188,0.404,0.144,0.094
996,5.59467228408854,8.6172781894193,7.123089277473563,5.828,8.274,6.43,0.918,0.614,0.532,0.09,0.41,0.204,0.112,0.4,0.188,0.388,0.146,0.102
997,5.50476986305309,8.523961872442504,6.99255417757493,5.784,8.404,6.376,0.906,0.638,0.558,0.09,0.4,0.19,0.112,0.378,0.186,0.39,0.184,0.11
998,5.550190322196976,8.6396251681645,6.86415912749199,5.786,8.364,6.376,0.9,0.636,0.534,0.09,0.386,0.186,0.112,0.416,0.188,0.394,0.186,0.12
999,5.580790639071718,8.632537702299276,6.763858768438993,5.692,8.328,6.638,0.938,0.6,0.53,0.09,0.41,0.188,0.112,0.386,0.196,0.392,0.136,0.094
1000,5.564329370962776,8.532790127153348,6.997441299967061,5.756,8.272,6.558,0.934,0.602,0.516,0.09,0.384,0.178,0.112,0.376,0.196,0.386,0.13,0.096
1001,5.637213168468412,8.613643985039614,6.793869717826266,5.84,8.316,6.338,0.926,0.624,0.54,0.09,0.396,0.198,0.112,0.4,0.188,0.384,0.148,0.092
1002,5.544417777507792,8.586428412882048,6.9142274300666005,5.808,8.366,6.464,0.918,0.636,0.516,0.09,0.404,0.2,0.112,0.388,0.21,0.4,0.18,0.118
1003,5.502906038821675,8.633596548405409,7.042869371927153,5.866,8.278,6.644,0.934,0.616,0.532,0.09,0.398,0.192,0.112,0.392,0.156,0.394,0.164,0.128
1004,5.564717075548989,8.523897624981188,6.9457685402041704,5.838,8.294,6.506,0.916,0.606,0.5,0.09,0.388,0.198,0.112,0.396,0.176,0.404,0.158,0.104
1005,5.671151691638124,8.617473429546054,7.042724041950087,5.826,8.324,6.52,0.922,0.61,0.482,0.09,0.4,0.194,0.112,0.396,0.218,0.402,0.15,0.104
1006,5.594683499209753,8.593713927016074,6.935982177798454,5.718,8.28,6.608,0.91,0.63,0.532,0.09,0.4,0.188,0.112,0.388,0.196,0.398,0.144,0.126
1007,5.580794260045402,8.574866223116137,6.872861932025307,5.742,8.358,6.496,0.916,0.606,0.536,0.09,0.416,0.17,0.112,0.402,0.188,0.41,0.146,0.108
1008,5.515963612144762,8.526681331363195,7.0231745602008,5.792,8.41,6.346,0.902,0.624,0.532,0.09,0.38,0.196,0.112,0.394,0.144,0.394,0.138,0.094
1009,5.577266163743943,8.606801614138394,7.092203242460779,5.808,8.374,6.428,0.9,0.584,0.516,0.09,0.4,0.212,0.112,0.382,0.18,0.392,0.148,0.096
1010,5.510937520581789,8.537552049837158,6.864444540577561,5.768,8.32,6.42,0.908,0.592,0.52,0.09,0.404,0.18,0.112,0.39,0.176,0.398,0.146,0.092
1011,5.668054340238641,8.5850429776984,7.017831962093087,5.734,8.35,6.438,0.916,0.594,0.49,0.09,0.386,0.218,0.112,0.402,0.176,0.398,0.132,0.112
1012,5.629302582918005,8.689046865872804,6.939206017093451,5.87,8.328,6.476,0.94,0.598,0.55,0.09,0.402,0.17,0.112,0.39,0.182,0.39,0.144,0.102
1013,5.555374717040569,8.478057324237335,6.867988647234058,5.832,8.234,6.374,0.92,0.634,0.512,0.09,0.39,0.15,0.112,0.39,0.184,0.398,0.144,0.084
1014,5.554500049457226,8.688719301327104,6.842877997015306,5.828,8.124,6.3,0.93,0.582,0.54,0.09,0.392,0.204,0.112,0.368,0.156,0.398,0.162,0.108
1015,5.605116081274895,8.628161423309944,7.060955320188564,5.718,8.326,6.422,0.932,0.602,0.516,0.09,0.4,0.18,0.112,0.39,0.176,0.394,0.166,0.124
1016,5.640893760925387,8.585117410677054,6.953838268823187,5.84,8.392,6.738,0.906,0.63,0.508,0.09,0.39,0.184,0.112,0.4,0.184,0.392,0.14,0.12
1017,5.55316681532261,8.599308334489317,6.918452653136966,5.866,8.404,6.412,0.916,0.65,0.53,0.09,0.398,0.186,0.112,0.382,0.218,0.408,0.196,0.118
1018,5.560561195756629,8.614217661365394,6.925101187899742,5.796,8.302,6.428,0.918,0.608,0.548,0.09,0.404,0.208,0.112,0.402,0.182,0.4,0.138,0.104
1019,5.632773869123287,8.706235444905914,7.044808799659904,5.732,8.252,6.374,0.932,0.588,0.55,0.09,0.39,0.192,0.112,0.378,0.182,0.412,0.144,0.098
1020,5.535928854229015,8.618614313415039,6.968430804124813,5.856,8.302,6.574,0.922,0.576,0.53,0.09,0.384,0.228,0.112,0.406,0.202,0.414,0.162,0.09
1021,5.514232051247348,8.623517794385258,7.001764558043939,5.808,8.386,6.422,0.928,0.634,0.502,0.09,0.406,0.202,0.112,0.378,0.194,0.378,0.148,0.118
1022,5.643004194054604,8.576191989589462,6.8822953012512365,5.778,8.356,6.666,0.926,0.63,0.502,0.09,0.398,0.218,0.112,0.402,0.16,0.386,0.134,0.12
1023,5.562727025805386,8.63507997003398,7.026533768902805,5.792,8.394,6.348,0.912,0.586,0.532,0.09,0.408,0.206,0.112,0.42,0.178,0.392,0.124,0.088
1024,5.6044503025004175,8.613498834686705,6.978158145858604,5.86,8.376,6.362,0.918,0.59,0.474,0.09,0.384,0.196,0.112,0.404,0.174,0.39,0.148,0.096
1025,5.587984431336065,8.602825848975773,6.986548081254215,5.768,8.39,6.752,0.926,0.606,0.526,0.09,0.396,0.206,0.112,0.38,0.224,0.398,0.184,0.092
1026,5.531029436697208,8.466952499743007,6.868201126406357,5.84,8.4,6.466,0.93,0.62,0.488,0.09,0.396,0.196,0.112,0.392,0.208,0.412,0.156,0.13
1027,5.602542447623199,8.597977854066414,6.9994035113089135,5.816,8.304,6.386,0.914,0.598,0.498,0.09,0.402,0.192,0.112,0.416,0.172,0.394,0.168,0.098
1028,5.5785157134497805,8.583903654993842,6.9307540202302205,5.834,8.346,6.382,0.914,0.588,0.482,0.09,0.39,0.194,0.112,0.412,0.204,0.408,0.146,0.108
1029,5.499350593705834,8.729739515047683,6.940648768754286,5.792,8.26,6.412,0.9,0.59,0.538,0.09,0.394,0.194,0.112,0.388,0.178,0.398,0.13,0.12
1030,5.553053501664563,8.635559614083954,6.963800515684215,5.704,8.368,6.47,0.896,0.606,0.524,0.09,0.392,0.192,0.112,0.412,0.17,0.396,0.16,0.124
1031,5.620848640842588,8.527901482810583,7.176067673008075,5.766,8.406,6.494,0.924,0.614,0.564,0.09,0.412,0.192,0.112,0.406,0.192,0.396,0.14,0.122
1032,5.569888211840894,8.615602866827679,7.016568871136138,5.82,8.398,6.452,0.906,0.598,0.564,0.09,0.406,0.194,0.112,0.42,0.164,0.388,0.146,0.114
1033,5.582997059305207,8.584314036669996,6.85126623030414,5.818,8.328,6.504,0.91,0.566,0.542,0.09,0.392,0.194,0.112,0.404,0.164,0.404,0.14,0.124
1034,5.557537320837555,8.511101436258228,7.029373686716337,5.832,8.298,6.512,0.944,0.63,0.522,0.09,0.404,0.184,0.112,0.388,0.212,0.388,0.162,0.098
1035,5.58474477363505,8.592001332787756,6.928204182993719,5.77,8.412,6.502,0.932,0.61,0.548,0.09,0.388,0.188,0.112,0.382,0.194,0.398,0.184,0.106
1036,5.616836419007368,8.641886204361093,7.003149847694006,5.746,8.392,6.392,0.912,0.582,0.512,0.09,0.394,0.182,0.112,0.404,0.176,0.4,0.162,0.092
1037,5.553560752163799,8.538016160391816,6.977680638288949,5.728,8.384,6.464,0.926,0.58,0.488,0.09,0.396,0.188,0.112,0.404,0.156,0.392,0.156,0.102
1038,5.5645001632041575,8.651009394119086,7.009255878438323,5.812,8.336,6.554,0.918,0.586,0.506,0.09,0.374,0.2,0.112,0.396,0.216,0.406,0.154,0.11
1039,5.5498472454872685,8.63891017270538,7.0351717600167385,5.752,8.392,6.414,0.948,0.612,0.526,0.09,0.402,0.188,0.112,0.39,0.176,0.396,0.152,0.122
1040,5.578085014787987,8.491375468243167,7.076041832891433,5.73,8.258,6.542,0.904,0.604,0.522,0.09,0.386,0.214,0.112,0.394,0.184,0.396,0.12,0.086
1041,5.582847275020156,8.558365877198788,6.806478817968318,5.864,8.31,6.354,0.944,0.634,0.488,0.09,0.39,0.164,0.112,0.382,0.17,0.4,0.174,0.106
1042,5.6346572681946085,8.577102898559094,6.840283301375798,5.812,8.332,6.724,0.92,0.626,0.516,0.09,0.386,0.194,0.112,0.398,0.212,0.4,0.17,0.116
1043,5.581824970872093,8.603083882855362,6.919738893299388,5.78,8.402,6.492,0.918,0.606,0.53,0.09,0.408,0.188,0.112,0.418,0.21,0.392,0.156,0.104
1044,5.626280811637562,8.475847042488668,6.83586800451264,5.882,8.376,6.44,0.914,0.596,0.524,0.09,0.388,0.182,0.112,0.414,0.194,0.398,0.186,0.106
1045,5.547374519553066,8.590309879721566,7.227810652995943,5.758,8.354,6.484,0.94,0.586,0.544,0.09,0.382,0.208,0.112,0.418,0.186,0.398,0.148,0.104
1046,5.637225476892939,8.539165116800463,6.904162399615297,5.87,8.34,6.558,0.924,0.584,0.538,0.09,0.4,0.176,0.112,0.404,0.172,0.394,0.142,0.126
1047,5.517444575987543,8.665790850776466,6.8264638754996545,5.746,8.322,6.36,0.918,0.632,0.532,0.09,0.396,0.182,0.112,0.382,0.18,0.402,0.192,0.11
1048,5.53272897929969,8.570080524244934,7.020766559024969,5.762,8.394,6.624,0.938,0.622,0.534,0.09,0.388,0.192,0.112,0.39,0.168,0.396,0.17,0.118
1049,5.5033514578708855,8.559561680624988,6.794844571549658,5.74,8.356,6.494,0.9,0.584,0.546,0.09,0.394,0.178,0.112,0.396,0.21,0.398,0.142,0.094
1050,5.624145606712354,8.632281231068783,6.934526189271216,5.752,8.184,6.492,0.922,0.626,0.528,0.09,0.404,0.2,0.112,0.414,0.18,0.396,0.132,0.128
1051,5.633208364494687,8.611661163925483,6.89690243806208,5.842,8.396,6.516,0.914,0.672,0.53,0.09,0.402,0.19,0.112,0.396,0.186,0.394,0.158,0.122
1052,5.613632962135162,8.495967780894278,7.088788641293279,5.826,8.408,6.54,0.904,0.64,0.538,0.09,0.396,0.188,0.112,0.416,0.168,0.39,0.136,0.134
1053,5.518141455240937,8.731465932951677,6.859754959615625,5.828,8.26,6.54,0.932,0.592,0.496,0.09,0.412,0.174,0.112,0.406,0.166,0.4,0.152,0.086
1054,5.582982673897314,8.599455423095433,6.883803528612851,5.868,8.296,6.522,0.91,0.606,0.546,0.09,0.4,0.188,0.112,0.4,0.17,0.398,0.17,0.1
1055,5.5871581425894625,8.647194311574756,7.011196591556142,5.81,8.348,6.638,0.926,0.604,0.508,0.09,0.394,0.2,0.112,0.38,0.18,0.388,0.12,0.128
1056,5.5753359143071615,8.637286972595339,7.1592731406859675,5.88,8.372,6.41,0.916,0.624,0.556,0.09,0.402,0.184,0.112,0.374,0.17,0.4,0.154,0.116
1057,5.533275140286877,8.577253370256765,7.095751989737355,5.644,8.342,6.258,0.93,0.608,0.496,0.09,0.39,0.218,0.112,0.382,0.18,0.384,0.174,0.114
1058,5.513226913058824,8.683154871360328,6.832682303087964,5.944,8.344,6.598,0.93,0.622,0.51,0.09,0.398,0.208,0.112,0.402,0.188,0.404,0.148,0.13
1059,5.624344608881887,8.641913638839446,7.09856287909857,5.818,8.382,6.534,0.906,0.58,0.542,0.09,0.39,0.214,0.112,0.404,0.208,0.398,0.162,0.124
1060,5.602874920091706,8.567020085270862,6.970849997448641,5.874,8.38,6.492,0.926,0.578,0.524,0.09,0.382,0.2,0.112,0.398,0.178,0.406,0.144,0.12
1061,5.540301602535732,8.569210871153016,7.0919872927184056,5.808,8.378,6.398,0.926,0.616,0.498,0.09,0.398,0.18,0.112,0.412,0.194,0.396,0.132,0.112
1062,5.603475155015647,8.487718084109131,6.951210892931328,5.764,8.268,6.606,0.93,0.64,0.544,0.09,0.408,0.184,0.112,0.39,0.168,0.392,0.176,0.132
1063,5.677896238561636,8.562511520665964,6.766006356554932,5.82,8.316,6.714,0.922,0.604,0.506,0.09,0.392,0.158,0.112,0.394,0.248,0.406,0.172,0.112
1064,5.608023419157298,8.736923704216697,7.0025117664629715,5.838,8.422,6.368,0.938,0.594,0.514,0.09,0.41,0.202,0.112,0.406,0.18,0.398,0.16,0.12
1065,5.58063841159831,8.631845839199958,6.804886898237858,5.86,8.218,6.32,0.912,0.604,0.546,0.09,0.408,0.192,0.112,0.396,0.176,0.404,0.166,0.106
1066,5.537849330498353,8.663978613131492,7.161020163151537,5.758,8.228,6.418,0.92,0.606,0.516,0.09,0.394,0.226,0.112,0.392,0.192,0.382,0.134,0.114
